Sample,Photo,Cells,Treatment,Time,Experiment,Cells_mL_gen,Cells_mL_sci
C2T3,C2T3_11,229,Control,End,Control End,601239.24,6.01E+05
C2T3,C2T3_12,136,Control,End,Control End,357067.84,3.57E+05
C2T3,C2T3_13,164,Control,End,Control End,430581.81,4.31E+05
C2T3,C2T3_14,176,Control,End,Control End,462087.8,4.62E+05
C2T3,C2T3_15,178,Control,End,Control End,467338.79,4.67E+05
C3T3,C3T3_1,90,Control,End,Control End,236294.9,2.36E+05
C3T3,C3T3_2,145,Control,End,Control End,380697.33,3.81E+05
C3T3,C3T3_3,137,Control,End,Control End,359693.34,3.60E+05
C3T3,C3T3_4,153,Control,End,Control End,401701.32,4.02E+05
C3T3,C3T3_5,182,Control,End,Control End,477840.79,4.78E+05
C3T3,C3T3_6,181,Control,End,Control End,475215.29,4.75E+05
C3T3,C3T3_7,221,Control,End,Control End,580235.24,5.80E+05
C3T3,C3T3_8,214,Control,End,Control End,561856.75,5.62E+05
C3T3,C3T3_9,220,Control,End,Control End,577609.75,5.78E+05
C3T3,C3T3_10,237,Control,End,Control End,622243.23,6.22E+05
C3T3,C3T3_11,226,Control,End,Control End,593362.74,5.93E+05
C3T3,C3T3_12,169,Control,End,Control End,443709.3,4.44E+05
C3T3,C3T3_13,189,Control,End,Control End,496219.28,4.96E+05
C3T3,C3T3_14,189,Control,End,Control End,496219.28,4.96E+05
C3T3,C3T3_15,164,Control,End,Control End,430581.81,4.31E+05
E1T3,E1T3_1,98,Mussel,End,Mussel End,257298.89,2.57E+05
E1T3,E1T3_2,116,Mussel,End,Mussel End,304557.87,3.05E+05
E1T3,E1T3_3,92,Mussel,End,Mussel End,241545.89,2.42E+05
E1T3,E1T3_4,115,Mussel,End,Mussel End,301932.37,3.02E+05
E1T3,E1T3_5,118,Mussel,End,Mussel End,309808.86,3.10E+05
E1T3,E1T3_6,146,Mussel,End,Mussel End,383322.83,3.83E+05
E1T3,E1T3_7,121,Mussel,End,Mussel End,317685.36,3.18E+05
E1T3,E1T3_8,159,Mussel,End,Mussel End,417454.32,4.17E+05
E1T3,E1T3_9,161,Mussel,End,Mussel End,422705.31,4.23E+05
E1T3,E1T3_10,141,Mussel,End,Mussel End,370195.34,3.70E+05
E1T3,E1T3_11,188,Mussel,End,Mussel End,493593.78,4.94E+05
E1T3,E1T3_12,167,Mussel,End,Mussel End,438458.31,4.38E+05
E1T3,E1T3_13,139,Mussel,End,Mussel End,364944.34,3.65E+05
E1T3,E1T3_14,128,Mussel,End,Mussel End,336063.85,3.36E+05
E1T3,E1T3_15,208,Mussel,End,Mussel End,546103.76,5.46E+05
E2T3,E2T3_1,112,Mussel,End,Mussel End,294055.87,2.94E+05
E2T3,E2T3_2,144,Mussel,End,Mussel End,378071.83,3.78E+05
E2T3,E2T3_3,165,Mussel,End,Mussel End,433207.31,4.33E+05
E2T3,E2T3_4,156,Mussel,End,Mussel End,409577.82,4.10E+05
E2T3,E2T3_5,82,Mussel,End,Mussel End,215290.91,2.15E+05
E2T3,E2T3_6,147,Mussel,End,Mussel End,385948.33,3.86E+05
E2T3,E2T3_7,173,Mussel,End,Mussel End,454211.3,4.54E+05
E2T3,E2T3_8,186,Mussel,End,Mussel End,488342.79,4.88E+05
E2T3,E2T3_9,192,Mussel,End,Mussel End,504095.78,5.04E+05
E2T3,E2T3_10,173,Mussel,End,Mussel End,454211.3,4.54E+05
E2T3,E2T3_11,153,Mussel,End,Mussel End,401701.32,4.02E+05
E2T3,E2T3_12,152,Mussel,End,Mussel End,399075.82,3.99E+05
E2T3,E2T3_13,157,Mussel,End,Mussel End,412203.32,4.12E+05
E2T3,E2T3_14,164,Mussel,End,Mussel End,430581.81,4.31E+05
E2T3,E2T3_15,148,Mussel,End,Mussel End,388573.83,3.89E+05
E3T3,E3T3_1,143,Mussel,End,Mussel End,375446.33,3.75E+05
E3T3,E3T3_2,161,Mussel,End,Mussel End,422705.31,4.23E+05
E3T3,E3T3_3,148,Mussel,End,Mussel End,388573.83,3.89E+05
E3T3,E3T3_4,210,Mussel,End,Mussel End,551354.76,5.51E+05
E3T3,E3T3_5,163,Mussel,End,Mussel End,427956.31,4.28E+05
E3T3,E3T3_6,178,Mussel,End,Mussel End,467338.79,4.67E+05
E3T3,E3T3_7,190,Mussel,End,Mussel End,498844.78,4.99E+05
E3T3,E3T3_8,159,Mussel,End,Mussel End,417454.32,4.17E+05
E3T3,E3T3_9,185,Mussel,End,Mussel End,485717.29,4.86E+05
E3T3,E3T3_10,163,Mussel,End,Mussel End,427956.31,4.28E+05
E3T3,E3T3_11,185,Mussel,End,Mussel End,485717.29,4.86E+05
E3T3,E3T3_12,126,Mussel,End,Mussel End,330812.85,3.31E+05
E3T3,E3T3_13,169,Mussel,End,Mussel End,443709.3,4.44E+05
E3T3,E3T3_14,148,Mussel,End,Mussel End,388573.83,3.89E+05
E3T3,E3T3_15,189,Mussel,End,Mussel End,496219.28,4.96E+05
